Sample	Sampleid2	bird.id	sampdate	hatchdate	species	lifestage	plot	box	zone	radiation	wingmm	age	massg	sex	microbiome	clutch_size	brood_size	forest_type	hatch_value	body_condition	categoryHC	diet1	diet2	category	 Diptera	 Lepidoptera	unassigned	Contaminatedt_label1	cont_label2	species_label
X209	209	39.1	13.6.2021	3.6.2021	PF	nestling	VESN	39	H	11	39	10	13.3	NA	Y	7	6	mixed	22	0.323749299	PFnH	Y	pfn	pfnH	0.236933798	0.174216028	0.588850174	Contaminated	Con	F. hypoleuca
X218	218	39.2	13.6.2021	3.6.2021	PF	nestling	VESN	39	H	11	40	10	13.1	NA	Y	7	6	mixed	22	-0.003974892	PFnH	Y	pfn	pfnH	0.816901408	0	0.183098592	Contaminated	Con	F. hypoleuca
X5	5	41	23.5.2021	17.5.2021	GT	nestling	C2	19	C	0.178	24	6	12.5	F	Y	9	9	birch	10	0.55589684	GTnC	Y	gtn	gtnC	0	0.210709701	0.789290299	Uncontaminated	Unc	P. major
X30	30	42	23.5.2021	17.5.2021	GT	nestling	C2	19	C	0.178	16	6	9.9	M	Y	9	9	birch	10	-0.236633153	GTnC	Y	gtn	gtnC	0	0.239390863	0.760609137	Uncontaminated	Unc	P. major
X208	208	42.1	13.6.2021	3.6.2021	PF	nestling	VESN	42	H	6.7	37	10	12.7	NA	Y	6	5	mixed	22	-0.020802321	PFnH	Y	pfn	pfnH	0	0.658983452	0.341016548	Contaminated	Con	F. hypoleuca
X213	213	42.2	13.6.2021	3.6.2021	PF	nestling	VESN	42	H	6.7	37	10	13.2	NA	Y	6	5	mixed	22	0.479197679	PFnH	Y	pfn	pfnH	0.009961022	0.658293634	0.331745344	Contaminated	Con	F. hypoleuca
X39	39	47	23.5.2021	11.5.2021	GT	nestling	C1	17	C	0.17	38	12	14.5	F	Y	11	11	birch	4	-0.607175672	GTnC	Y	gtn	gtnC	0	0.224977043	0.775022957	Uncontaminated	Unc	P. major
X43	43	49	23.5.2021	11.5.2021	GT	nestling	C1	14	C	0.077	39	12	15.1	F	Y	10	7	birch	4	-0.233109423	GTnC	Y	gtn	gtnC	0	0.190816327	0.809183673	Uncontaminated	Unc	P. major
X197	197	49.1	13.6.2021	5.6.2021	PF	nestling	RAZ	49	C	0.17	30	8	11.7	NA	Y	7	7	mixed	24	-0.126732988	PFnC	Y	pfn	pfnC	1	0	0	Uncontaminated	Unc	F. hypoleuca
X180	180	49.2	13.6.2021	5.6.2021	PF	nestling	RAZ	49	C	0.17	31	8	12.4	NA	Y	7	7	mixed	24	0.445542822	PFnC	Y	pfn	pfnC	0.918918919	0	0.081081081	Uncontaminated	Unc	F. hypoleuca
X163	163	50	23.5.2021	11.5.2021	GT	nestling	C1	14	C	0.077	41	12	16.5	F	Y	10	7	birch	4	0.715023076	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X204	204	50.1	13.6.2021	31.5.2021	PF	nestling	RAZ	50	C	0.17	51	13	13.5	NA	Y	7	6	mixed	19	-1.008940986	PFnC	Y	pfn	pfnC	0.688191882	0.066420664	0.245387454	Uncontaminated	Unc	F. hypoleuca
X199	199	50.3	13.6.2021	31.5.2021	PF	nestling	RAZ	50	C	0.17	45	13	12.1	NA	Y	7	6	mixed	19	-1.642595844	PFnC	Y	pfn	pfnC	1	0	0	Uncontaminated	Unc	F. hypoleuca
X119	119	53	23.5.2021	NA	GT	adult	C1	14	C	0.077	75	NA	17.2	M	Y	10	7	birch	NA	-0.745879459	GTaC	Y	gta	gtaC	0	0	1	Uncontaminated	Unc	P. major
X190	190	53.1	13.6.2021	4.6.2021	PF	nestling	RAZ	53	C	0.17	29	9	11.5	NA	Y	7	7	mixed	23	-0.199008797	PFnC	Y	pfn	pfnC	1	0	0	Uncontaminated	Unc	F. hypoleuca
X219	219	53.2	13.6.2021	4.6.2021	PF	nestling	RAZ	53	C	0.17	33	9	12.9	NA	Y	7	7	mixed	23	0.690094441	PFnC	Y	pfn	pfnC	1	0	0	Uncontaminated	Unc	F. hypoleuca
X18	18	54	23.5.2021	13.5.2021	GT	nestling	C1	2A	C	0.171	32	10	14.9	M	Y	10	9	birch	6	1.148426833	GTnC	Y	gtn	gtnC	0	0.221151341	0.778848659	Uncontaminated	Unc	P. major
X205	205	54.1	13.6.2021	3.6.2021	PF	nestling	RAZ	54	C	0.07	40	10	12.7	NA	Y	6	6	mixed	22	-0.403974892	PFnC	Y	pfn	pfnC	0.896319191	0.080359652	0.023321158	Uncontaminated	Unc	F. hypoleuca
X178	178	54.2	13.6.2021	3.6.2021	PF	nestling	RAZ	54	C	0.07	35	10	12	NA	Y	6	6	mixed	22	-0.46535394	PFnC	Y	pfn	pfnC	0.99107674	0	0.00892326	Uncontaminated	Unc	F. hypoleuca
X4	4	55	23.5.2021	13.5.2021	GT	nestling	C1	2A	C	0.171	26	10	12.1	F	Y	10	9	birch	6	-0.295970661	GTnC	Y	gtn	gtnC	0	0.248583569	0.751416431	Uncontaminated	Unc	P. major
X186	186	55.2	13.6.2021	4.6.2021	PF	nestling	RAZ	55	C	0.07	33	9	12.7	NA	Y	6	6	mixed	23	0.490094441	PFnC	Y	pfn	pfnC	1	0	0	Uncontaminated	Unc	F. hypoleuca
X188	188	56.1	13.6.2021	4.6.2021	PF	nestling	RAZ	56	C	0.07	36	9	13.7	NA	Y	6	6	mixed	23	1.10692187	PFnC	Y	pfn	pfnC	0.833333333	0.166666667	0	Uncontaminated	Unc	F. hypoleuca
X196	196	56.5	13.6.2021	4.6.2021	PF	nestling	RAZ	56	C	0.07	35	9	13.2	NA	Y	6	6	mixed	23	0.73464606	PFnC	Y	pfn	pfnC	0.883534137	0	0.116465863	Uncontaminated	Unc	F. hypoleuca
X203	203	57.1	13.6.2021	6.6.2021	PF	nestling	RAZ	57	C	0.07	21	7	9.6	NA	Y	7	7	mixed	25	-1.077215274	PFnC	Y	pfn	pfnC	1	0	0	Uncontaminated	Unc	F. hypoleuca
X181	181	57.2	13.6.2021	6.6.2021	PF	nestling	RAZ	57	C	0.07	22	7	9.6	NA	Y	7	7	mixed	25	-1.204939465	PFnC	Y	pfn	pfnC	0.27816092	0.213793103	0.508045977	Uncontaminated	Unc	F. hypoleuca
X82	82	58	23.5.2021	19.5.2021	GT	nestling	C1	11	C	0.178	10	4	7.2	NA	Y	10	9	birch	12	-1.581030648	GTnC	Y	gtn	gtnC	0.057471264	0.942528736	0	Uncontaminated	Unc	P. major
X201	201	58.1	13.6.2021	31.5.2021	PF	nestling	RAZ	58	C	0.07	51	13	14.2	NA	Y	7	7	mixed	19	-0.308940986	PFnC	Y	pfn	pfnC	0.942386831	0	0.057613169	Uncontaminated	Unc	F. hypoleuca
X210	210	58.2	13.6.2021	31.5.2021	PF	nestling	RAZ	58	C	0.07	50	13	13.9	NA	Y	7	7	mixed	19	-0.481216796	PFnC	Y	pfn	pfnC	0.678571429	0.053571429	0.267857143	Uncontaminated	Unc	F. hypoleuca
X99	99	61	24.5.2021	16.5.2021	GT	nestling	STECH	16B	C	0.1	26	8	10.8	M	Y	7	7	birch	9	-1.595970661	GTnC	Y	gtn	gtnC	0	0.619047619	0.380952381	Uncontaminated	Unc	P. major
X25	25	66	24.5.2021	10.5.2021	GT	nestling	STECH	20	C	0.1	47	14	16.7	F	Y	11	11	birch	3	-0.440579429	GTnC	Y	gtn	gtnC	0	1	0	Uncontaminated	Unc	P. major
X55	55	70	24.5.2021	10.5.2021	GT	nestling	STECH	20	C	0.1	45	14	17.1	M	Y	11	11	birch	3	0.411288072	GTnC	Y	gtn	gtnC	0.710775047	0.289224953	0	Uncontaminated	Unc	P. major
X106	106	71	24.5.2021	15.5.2021	GT	nestling	STECH	21	C	0.1	29	9	11.9	F	Y	10	10	birch	8	-1.173771914	GTnC	Y	gtn	gtnC	1	0	0	Uncontaminated	Unc	P. major
X12	12	73	24.5.2021	15.5.2021	GT	nestling	STECH	21	C	0.1	24	9	12.1	F	Y	10	10	birch	8	0.15589684	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X144	144	75	24.5.2021	NA	GT	adult	STECH	21	C	0.1	73	NA	15.5	F	Y	10	10	birch	NA	-2.070295203	GTaC	Y	gta	gtaC	1	0	0	Uncontaminated	Unc	P. major
X61	61	76	24.5.2021	14.5.2021	GT	nestling	STECH	23	C	0.1	29	10	11.5	F	Y	12	9	birch	7	-1.573771914	GTnC	Y	gtn	gtnC	0.169747899	0.741176471	0.08907563	Uncontaminated	Unc	P. major
X32	32	77	24.5.2021	14.5.2021	GT	nestling	STECH	23	C	0.1	28	10	9.3	M	Y	12	9	birch	7	-3.547838163	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X133	133	80	24.5.2021	NA	GT	adult	STECH	23	C	0.1	74	NA	17.8	F	Y	12	9	birch	NA	0.041912669	GTaC	Y	gta	gtaC	0	0	1	Uncontaminated	Unc	P. major
X26	26	81	24.5.2021	13.5.2021	GT	nestling	STECH	24	C	0.1	37	11	14.5	F	Y	11	11	birch	6	-0.381241921	GTnC	Y	gtn	gtnC	0	0.018716923	0.981283077	Uncontaminated	Unc	P. major
X16	16	84	24.5.2021	13.5.2021	GT	nestling	STECH	24	C	0.1	37	11	14.3	F	Y	11	11	birch	6	-0.581241921	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X85	85	86	24.5.2021	15.5.2021	GT	nestling	STECH	27	C	0.1	32	9	12.5	F	Y	8	8	birch	8	-1.251573167	GTnC	Y	gtn	gtnC	0	1	0	Uncontaminated	Unc	P. major
X34	34	87	24.5.2021	15.5.2021	GT	nestling	STECH	27	C	0.1	25	9	11.6	F	Y	8	8	birch	8	-0.570036911	GTnC	Y	gtn	gtnC	0.113636364	0.794191919	0.092171717	Uncontaminated	Unc	P. major
X130	130	89	24.5.2021	NA	GT	adult	STECH	27	C	0.1	NA	NA	17.9	F	Y	8	8	birch	NA	NA	GTaC	Y	gta	gtaC	0	0	1	Uncontaminated	Unc	P. major
X111	111	90	24.5.2021	10.5.2021	GT	nestling	STECH	28	C	0.1	46	14	16.4	M	Y	10	10	birch	3	-0.514645679	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X116	116	91	24.5.2021	10.5.2021	GT	nestling	STECH	28	C	0.1	45	14	16.1	F	Y	10	10	birch	3	-0.588711928	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X183	183	94.4	13.6.2021	5.6.2021	PF	nestling	SPEPLH	94	H	22.8	28	8	11.6	NA	Y	8	8	mixed	24	0.028715393	PFnH	Y	pfn	pfnH	0.147995889	0.331963001	0.52004111	Contaminated	Con	F. hypoleuca
X221	221	94.5	13.6.2021	5.6.2021	PF	nestling	SPEPLH	94	H	22.8	26	8	9.7	NA	Y	8	8	mixed	24	-1.615836226	PFnH	Y	pfn	pfnH	0.304467354	0.527835052	0.167697595	Contaminated	Con	F. hypoleuca
X147	147	96	24.5.2021	NA	GT	adult	STECH	24	C	0.1	73	NA	17.6	F	Y	11	11	birch	NA	0.029704797	GTaC	Y	gta	gtaC	0.303030303	0	0.696969697	Uncontaminated	Unc	P. major
X200	200	96.1	13.6.2021	5.6.2021	PF	nestling	SPEPLH	96	H	NA	59	17	14	NA	Y	8	7	mixed	16	-1.530734509	PFnH	Y	pfn	pfnH	0	0	1	Contaminated	Con	F. hypoleuca
X191	191	96.2	13.6.2021	5.6.2021	PF	nestling	SPEPLH	96	H	NA	60	17	13.9	NA	Y	8	7	mixed	16	-1.7584587	PFnH	Y	pfn	pfnH	1	0	0	Contaminated	Con	F. hypoleuca
X56	56	97	24.5.2021	15.5.2021	GT	nestling	RAZ	59	C	0.17	30	9	14.1	F	Y	12	12	mixed	8	0.800294335	GTnC	Y	gtn	gtnC	0	0.110062893	0.889937107	Uncontaminated	Unc	P. major
X214	214	97.2	13.6.2021	31.5.2021	PF	nestling	SPEPLH	97	H	9	48	13	13.1	NA	Y	7	7	mixed	19	-1.025768415	PFnH	Y	pfn	pfnH	0.168269231	0.201923077	0.629807692	Contaminated	Con	F. hypoleuca
X192	192	97.3	13.6.2021	31.5.2021	PF	nestling	SPEPLH	97	H	9	48	13	13.5	NA	Y	7	7	mixed	19	-0.625768415	PFnH	Y	pfn	pfnH	0.255172414	0.648275862	0.096551724	Contaminated	Con	F. hypoleuca
X184	184	98.2	13.6.2021	4.6.2021	PF	nestling	SPEPLH	98	H	6	34	9	12.8	NA	Y	7	7	mixed	23	0.462370251	PFnH	Y	pfn	pfnH	0	1	0	Contaminated	Con	F. hypoleuca
X217	217	98.3	13.6.2021	4.6.2021	PF	nestling	SPEPLH	98	H	6	36	9	13.3	NA	Y	7	7	mixed	23	0.70692187	PFnH	Y	pfn	pfnH	0	1	0	Contaminated	Con	F. hypoleuca
X58	58	99	24.5.2021	15.5.2021	GT	nestling	RAZ	59	C	0.17	29	9	14	F	Y	12	12	mixed	8	0.926228086	GTnC	Y	gtn	gtnC	0	0.203182375	0.796817625	Uncontaminated	Unc	P. major
X212	212	100.1	13.6.2021	4.6.2021	PF	nestling	SPEPLH	100	H	NA	32	9	12.8	NA	Y	6	6	mixed	23	0.717818631	PFnH	Y	pfn	pfnH	0.071574642	0.519427403	0.408997955	Contaminated	Con	F. hypoleuca
X182	182	100.2	13.6.2021	4.6.2021	PF	nestling	SPEPLH	100	H	NA	33	9	13	NA	Y	6	6	mixed	23	0.790094441	PFnH	Y	pfn	pfnH	0.502202643	0	0.497797357	Contaminated	Con	F. hypoleuca
X112	112	101	23.5.2021	9.5.2021	GT	nestling	H1	18	H	107.9	46	14	16.4	M	Y	11	11	birch	2	-0.514645679	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X74	74	102	23.5.2021	9.5.2021	GT	nestling	H1	18	H	107.9	45	14	16.5	M	Y	11	11	birch	2	-0.188711928	GTnH	Y	gtn	gtnH	0	0.21753951	0.78246049	Contaminated	Con	P. major
X28	28	105	23.5.2021	12.5.2021	GT	nestling	H1	9B	H	73.79	38	11	15.5	M	Y	11	11	birch	5	0.392824328	GTnH	Y	gtn	gtnH	0.164522354	0.172241878	0.663235767	Contaminated	Con	P. major
X35	35	106	23.5.2021	12.5.2021	GT	nestling	H1	9B	H	73.79	31	11	12.7	M	Y	11	11	birch	5	-0.825639416	GTnH	Y	gtn	gtnH	0	0.211325967	0.788674033	Contaminated	Con	P. major
X150	150	109	24.5.2021	NA	GT	adult	RAZ	59	C	0.17	70	NA	17.6	F	Y	12	12	mixed	NA	0.593081181	GTaC	Y	gta	gtaC	0	0.361581921	0.638418079	Uncontaminated	Unc	P. major
X78	78	110	24.5.2021	15.5.2021	GT	nestling	RAZ	46	C	0.17	27	9	12.4	F	Y	9	9	mixed	8	-0.221904412	GTnC	Y	gtn	gtnC	0	0.214814815	0.785185185	Uncontaminated	Unc	P. major
X48	48	111	24.5.2021	15.5.2021	GT	nestling	RAZ	46	C	0.17	30	9	14.6	M	Y	9	9	mixed	8	1.300294335	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X194	194	112.2	12.6.2021	2.6.2021	PF	nestling	YAM	112	C	0.3	35	10	11.7	NA	Y	8	8	birch	21	-0.76535394	PFnC	Y	pfn	pfnC	0	0	1	Uncontaminated	Unc	F. hypoleuca
X185	185	112.5	12.6.2021	2.6.2021	PF	nestling	YAM	112	C	0.3	38	10	13.1	NA	Y	8	8	birch	21	0.251473489	PFnC	Y	pfn	pfnC	0	0	1	Uncontaminated	Unc	F. hypoleuca
X9	9	114	24.5.2021	12.5.2021	GT	nestling	RAZ	47	C	0.17	39	12	16.4	F	Y	11	10	mixed	5	1.066890577	GTnC	Y	gtn	gtnC	0	0.220367279	0.779632721	Uncontaminated	Unc	P. major
X206	206	114.1	12.6.2021	3.6.2021	PF	nestling	YAM	114	C	0.3	36	9	14.1	NA	Y	7	7	birch	22	1.50692187	PFnC	Y	pfn	pfnC	0.101449275	0.182608696	0.715942029	Uncontaminated	Unc	F. hypoleuca
X220	220	114.2	12.6.2021	3.6.2021	PF	nestling	YAM	114	C	0.3	34	9	13.8	NA	Y	7	7	birch	22	1.462370251	PFnC	Y	pfn	pfnC	0	0	1	Uncontaminated	Unc	F. hypoleuca
X70	70	115	24.5.2021	12.5.2021	GT	nestling	RAZ	47	C	0.17	42	12	16.2	F	Y	11	10	mixed	5	0.189089325	GTnC	Y	gtn	gtnC	0	0.432779097	0.567220903	Uncontaminated	Unc	P. major
X50	50	118	24.5.2021	12.5.2021	GT	nestling	RED3	2B	H	53	41	12	17.5	M	Y	13	10	birch	5	1.715023076	GTnH	Y	gtn	gtnH	0.005860806	0	0.994139194	Contaminated	Con	P. major
X3	3	119	24.5.2021	12.5.2021	GT	nestling	RED3	2B	H	53	42	12	17.5	F	Y	13	10	birch	5	1.489089325	GTnH	Y	gtn	gtnH	0.480916031	0	0.519083969	Contaminated	Con	P. major
X216	216	119.2	12.6.2021	2.6.2021	PF	nestling	YAM	119	C	0.3	39	10	14	NA	Y	6	6	birch	21	1.023749299	PFnC	Y	pfn	pfnC	0.006827492	0.014565316	0.978607192	Uncontaminated	Unc	F. hypoleuca
X114	114	122	25.5.2021	13.5.2021	GT	nestling	RED3	8	H	38	39	12	13.5	F	Y	11	10	birch	6	-1.833109423	GTnH	Y	gtn	gtnH	1	0	0	Contaminated	Con	P. major
X64	64	123	25.5.2021	13.5.2021	GT	nestling	RED3	8	H	38	40	12	14.3	F	Y	10	10	birch	6	-1.259043173	GTnH	Y	gtn	gtnH	1	0	0	Contaminated	Con	P. major
X162	162	126	25.5.2021	NA	GT	adult	RED3	2B	H	53	76	NA	18.3	M	Y	13	10	birch	NA	0.166328413	GTaH	Y	gta	gtaH	1	0	0	Contaminated	Con	P. major
X108	108	128	25.5.2021	11.5.2021	GT	nestling	RED3	10	H	49	44	14	15.2	F	Y	11	10	birch	4	-1.262778177	GTnH	Y	gtn	gtnH	1	0	0	Contaminated	Con	P. major
X115	115	129	25.5.2021	11.5.2021	GT	nestling	RED3	10	H	49	49	14	16.8	M	Y	11	10	birch	4	-0.792446931	GTnH	Y	gtn	gtnH	1	0	0	Contaminated	Con	P. major
X81	81	133	25.5.2021	14.5.2021	GT	nestling	RED3	12	H	57	35	11	13.5	M	Y	12	12	birch	7	-0.929374419	GTnH	Y	gtn	gtnH	1	0	0	Contaminated	Con	P. major
X41	41	138	25.5.2021	17.5.2021	GT	nestling	YAM	102	C	0.158	20	8	12.4	F	Y	10	10	birch	10	1.359631844	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X17	17	139	25.5.2021	17.5.2021	GT	nestling	YAM	102	C	0.158	21	8	11.1	F	Y	10	10	birch	10	-0.166301907	GTnC	Y	gtn	gtnC	0.045126354	0.178700361	0.776173285	Uncontaminated	Unc	P. major
X6	6	141	29.5.2021	17.5.2021	GT	nestling	YAM	109	C	0.158	39	12	17.8	F	Y	9	9	birch	10	2.466890577	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X89	89	142	29.5.2021	17.5.2021	GT	nestling	YAM	109	C	0.158	39	12	18	M	Y	9	9	birch	10	2.666890577	GTnC	Y	gtn	gtnC	0	0.187845304	0.812154696	Uncontaminated	Unc	P. major
X131	131	145	25.5.2021	NA	GT	adult	YAM	109	C	0.158	76	NA	16.9	M	Y	9	9	birch	NA	-1.233671587	GTaC	Y	gta	gtaC	0.018142235	0.200290276	0.781567489	Uncontaminated	Unc	P. major
X134	134	146	25.5.2021	NA	GT	adult	YAM	102	C	0.158	74	NA	18.8	F	Y	10	10	birch	NA	1.041912669	GTaC	Y	gta	gtaC	0.575	0.425	0	Uncontaminated	Unc	P. major
X45	45	148	26.5.2021	17.5.2021	GT	nestling	VESN	33	H	6.2	27	9	12.6	F	Y	11	11	mixed	10	-0.021904412	GTnH	Y	gtn	gtnH	0.001082251	0.198593074	0.800324675	Contaminated	Con	P. major
X107	107	149	26.5.2021	17.5.2021	GT	nestling	VESN	33	H	6.2	26	9	11.3	F	Y	11	11	mixed	10	-1.095970661	GTnH	Y	gtn	gtnH	0	0.21650265	0.78349735	Contaminated	Con	P. major
X20	20	152	26.5.2021	16.5.2021	GT	nestling	VESN	34	H	3.7	34	10	14.8	F	Y	8	8	mixed	9	0.596559332	GTnH	Y	gtn	gtnH	0	0.211427573	0.788572427	Contaminated	Con	P. major
X36	36	154	26.5.2021	16.5.2021	GT	nestling	VESN	34	H	3.7	28	10	13.3	M	Y	8	8	mixed	9	0.452161837	GTnH	Y	gtn	gtnH	0.108963093	0.165202109	0.725834798	Contaminated	Con	P. major
X105	105	158	26.5.2021	16.5.2021	GT	nestling	VESN	43	H	6.3	28	10	12.6	F	Y	10	10	mixed	9	-0.247838163	GTnH	Y	gtn	gtnH	0	1	0	Contaminated	Con	P. major
X40	40	159	26.5.2021	16.5.2021	GT	nestling	VESN	43	H	6.3	30	10	13.1	F	Y	10	10	mixed	9	-0.199705665	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X29	29	163	26.5.2021	11.5.2021	GT	nestling	VESN	41	H	10.7	51	15	16.6	F	Y	11	11	mixed	4	-1.444314433	GTnH	Y	gtn	gtnH	0.043069695	0.241973375	0.71495693	Contaminated	Con	P. major
X142	142	165	26.5.2021	NA	GT	adult	VESN	41	H	10.7	72	NA	17.1	F	Y	11	11	mixed	NA	-0.282503075	GTaH	Y	gta	gtaH	0	0	1	Contaminated	Con	P. major
X87	87	167	26.5.2021	16.5.2021	GT	nestling	VESN	40	H	12.7	32	10	15.5	M	Y	9	9	mixed	9	1.748426833	GTnH	Y	gtn	gtnH	0.011840689	0.206673843	0.781485468	Contaminated	Con	P. major
X98	98	168	26.5.2021	16.5.2021	GT	nestling	VESN	40	H	12.7	29	10	12.8	M	Y	9	9	mixed	9	-0.273771914	GTnH	Y	gtn	gtnH	0.118644068	0	0.881355932	Contaminated	Con	P. major
X128	128	170	26.5.2021	NA	GT	adult	VESN	34	H	3.7	72	NA	17.1	F	Y	8	8	mixed	NA	-0.282503075	GTaH	Y	gta	gtaH	0.885714286	0	0.114285714	Contaminated	Con	P. major
X44	44	172	26.5.2021	17.5.2021	GT	nestling	VESN	44	H	9.6	27	9	13.4	F	Y	9	9	mixed	10	0.778095588	GTnH	Y	gtn	gtnH	0	0.205669291	0.794330709	Contaminated	Con	P. major
X24	24	173	26.5.2021	17.5.2021	GT	nestling	VESN	44	H	9.6	21	9	12.1	M	Y	9	9	mixed	10	0.833698093	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X42	42	175	26.5.2021	16.5.2021	GT	nestling	CHISTO	83	H	11.7	35	10	14.3	F	Y	9	9	birch	9	-0.129374419	GTnH	Y	gtn	gtnH	0.077419355	0.88172043	0.040860215	Contaminated	Con	P. major
X75	75	180	26.5.2021	14.5.2021	GT	nestling	CHISTO	90+	H	12.23	41	12	17.2	M	Y	12	12	birch	7	1.415023076	GTnH	Y	gtn	gtnH	0	0.156808803	0.843191197	Contaminated	Con	P. major
X31	31	181	26.5.2021	14.5.2021	GT	nestling	CHISTO	90+	H	12.23	39	12	14	F	Y	12	12	birch	7	-1.333109423	GTnH	Y	gtn	gtnH	0.756578947	0.027834008	0.215587045	Contaminated	Con	P. major
